,Power
2018-06-01 00:00:00,71.03
2018-06-01 00:15:00,68.98
2018-06-01 00:30:00,70.06
2018-06-01 00:45:00,69.23
2018-06-01 01:00:00,69.44
2018-06-01 01:15:00,69.73
2018-06-01 01:30:00,70.31
2018-06-01 01:45:00,69.52
2018-06-01 02:00:00,72.0
2018-06-01 02:15:00,69.95
2018-06-01 02:30:00,70.85
2018-06-01 02:45:00,69.05
2018-06-01 03:00:00,69.66
2018-06-01 03:15:00,69.12
2018-06-01 03:30:00,69.37
2018-06-01 03:45:00,70.02
2018-06-01 04:00:00,68.8
2018-06-01 04:15:00,69.48
2018-06-01 04:30:00,68.83
2018-06-01 04:45:00,70.27
2018-06-01 05:00:00,68.08
2018-06-01 05:15:00,69.26
2018-06-01 05:30:00,69.19
2018-06-01 05:45:00,68.94
2018-06-01 06:00:00,70.27
2018-06-01 06:15:00,69.98
2018-06-01 06:30:00,70.99
2018-06-01 06:45:00,71.89
2018-06-01 07:00:00,72.18
2018-06-01 07:15:00,72.18
2018-06-01 07:30:00,73.87
2018-06-01 07:45:00,73.08
2018-06-01 08:00:00,75.35
2018-06-01 08:15:00,74.99
2018-06-01 08:30:00,75.42
2018-06-01 08:45:00,76.32
2018-06-01 09:00:00,74.34
2018-06-01 09:15:00,73.91
2018-06-01 09:30:00,72.47
2018-06-01 09:45:00,73.37
2018-06-01 10:00:00,81.47
2018-06-01 10:15:00,82.08
2018-06-01 10:30:00,87.41
2018-06-01 10:45:00,84.82
2018-06-01 11:00:00,86.33
2018-06-01 11:15:00,85.86
2018-06-01 11:30:00,85.21
2018-06-01 11:45:00,84.13
2018-06-01 12:00:00,85.18
2018-06-01 12:15:00,86.0
2018-06-01 12:30:00,84.31
2018-06-01 12:45:00,86.65
2018-06-01 13:00:00,81.72
2018-06-01 13:15:00,85.97
2018-06-01 13:30:00,87.34
2018-06-01 13:45:00,84.46
2018-06-01 14:00:00,87.55
2018-06-01 14:15:00,85.57
2018-06-01 14:30:00,86.65
2018-06-01 14:45:00,84.64
2018-06-01 15:00:00,87.08
2018-06-01 15:15:00,89.5
2018-06-01 15:30:00,85.93
2018-06-01 15:45:00,86.83
2018-06-01 16:00:00,85.43
2018-06-01 16:15:00,77.69
2018-06-01 16:30:00,74.05
2018-06-01 16:45:00,77.44
2018-06-01 17:00:00,75.35
2018-06-01 17:15:00,75.96
2018-06-01 17:30:00,75.71
2018-06-01 17:45:00,76.97
2018-06-01 18:00:00,78.7
2018-06-01 18:15:00,76.64
2018-06-01 18:30:00,74.66
2018-06-01 18:45:00,76.64
2018-06-01 19:00:00,73.51
2018-06-01 19:15:00,73.04
2018-06-01 19:30:00,74.3
2018-06-01 19:45:00,74.23
2018-06-01 20:00:00,73.73
2018-06-01 20:15:00,70.45
2018-06-01 20:30:00,73.33
2018-06-01 20:45:00,72.79
2018-06-01 21:00:00,71.75
2018-06-01 21:15:00,73.15
2018-06-01 21:30:00,71.1
2018-06-01 21:45:00,73.3
2018-06-01 22:00:00,70.02
2018-06-01 22:15:00,71.39
2018-06-01 22:30:00,70.42
2018-06-01 22:45:00,70.81
2018-06-01 23:00:00,70.56
2018-06-01 23:15:00,69.55
2018-06-01 23:30:00,71.1
2018-06-01 23:45:00,68.9
2018-06-02 00:00:00,70.31
2018-06-02 00:15:00,69.7
2018-06-02 00:30:00,70.24
2018-06-02 00:45:00,70.02
2018-06-02 01:00:00,68.62
2018-06-02 01:15:00,70.02
2018-06-02 01:30:00,69.12
2018-06-02 01:45:00,69.48
2018-06-02 02:00:00,68.4
2018-06-02 02:15:00,70.49
2018-06-02 02:30:00,70.09
2018-06-02 02:45:00,68.47
2018-06-02 03:00:00,68.8
2018-06-02 03:15:00,70.52
2018-06-02 03:30:00,68.44
2018-06-02 03:45:00,68.58
2018-06-02 04:00:00,70.27
2018-06-02 04:15:00,68.11
2018-06-02 04:30:00,69.55
2018-06-02 04:45:00,69.88
2018-06-02 05:00:00,68.51
2018-06-02 05:15:00,68.4
2018-06-02 05:30:00,70.09
2018-06-02 05:45:00,68.65
2018-06-02 06:00:00,69.44
2018-06-02 06:15:00,69.41
2018-06-02 06:30:00,69.66
2018-06-02 06:45:00,69.12
2018-06-02 07:00:00,70.74
2018-06-02 07:15:00,70.6
2018-06-02 07:30:00,68.58
2018-06-02 07:45:00,70.56
2018-06-02 08:00:00,70.27
2018-06-02 08:15:00,70.49
2018-06-02 08:30:00,68.8
2018-06-02 08:45:00,68.47
2018-06-02 09:00:00,71.24
2018-06-02 09:15:00,72.58
2018-06-02 09:30:00,76.25
2018-06-02 09:45:00,82.19
2018-06-02 10:00:00,82.33
2018-06-02 10:15:00,81.47
2018-06-02 10:30:00,79.52
2018-06-02 10:45:00,79.63
2018-06-02 11:00:00,78.77
2018-06-02 11:15:00,68.51
2018-06-02 11:30:00,68.11
2018-06-02 11:45:00,69.59
2018-06-02 12:00:00,69.34
2018-06-02 12:15:00,67.97
2018-06-02 12:30:00,67.14
2018-06-02 12:45:00,68.18
2018-06-02 13:00:00,69.62
2018-06-02 13:15:00,68.9
2018-06-02 13:30:00,67.82
2018-06-02 13:45:00,68.47
2018-06-02 14:00:00,70.34
2018-06-02 14:15:00,69.37
2018-06-02 14:30:00,71.21
2018-06-02 14:45:00,70.16
2018-06-02 15:00:00,70.7
2018-06-02 15:15:00,72.18
2018-06-02 15:30:00,71.89
2018-06-02 15:45:00,72.4
2018-06-02 16:00:00,72.65
2018-06-02 16:15:00,73.19
2018-06-02 16:30:00,70.74
2018-06-02 16:45:00,72.83
2018-06-02 17:00:00,72.58
2018-06-02 17:15:00,70.6
2018-06-02 17:30:00,73.55
2018-06-02 17:45:00,72.29
2018-06-02 18:00:00,71.1
2018-06-02 18:15:00,70.92
2018-06-02 18:30:00,72.58
2018-06-02 18:45:00,70.31
2018-06-02 19:00:00,70.24
2018-06-02 19:15:00,69.98
2018-06-02 19:30:00,70.31
2018-06-02 19:45:00,72.47
2018-06-02 20:00:00,71.89
2018-06-02 20:15:00,70.24
2018-06-02 20:30:00,69.59
2018-06-02 20:45:00,71.03
2018-06-02 21:00:00,70.7
2018-06-02 21:15:00,69.59
2018-06-02 21:30:00,68.72
2018-06-02 21:45:00,70.85
2018-06-02 22:00:00,69.77
2018-06-02 22:15:00,68.8
2018-06-02 22:30:00,69.44
2018-06-02 22:45:00,69.91
2018-06-02 23:00:00,69.73
2018-06-02 23:15:00,67.86
2018-06-02 23:30:00,70.13
2018-06-02 23:45:00,68.58
2018-06-03 00:00:00,69.8
2018-06-03 00:15:00,68.04
2018-06-03 00:30:00,69.91
2018-06-03 00:45:00,69.26
2018-06-03 01:00:00,68.08
2018-06-03 01:15:00,68.47
2018-06-03 01:30:00,69.95
2018-06-03 01:45:00,68.47
2018-06-03 02:00:00,68.4
2018-06-03 02:15:00,69.88
2018-06-03 02:30:00,68.26
2018-06-03 02:45:00,68.9
2018-06-03 03:00:00,68.8
2018-06-03 03:15:00,68.04
2018-06-03 03:30:00,68.11
2018-06-03 03:45:00,70.09
2018-06-03 04:00:00,67.5
2018-06-03 04:15:00,68.29
2018-06-03 04:30:00,69.48
2018-06-03 04:45:00,68.69
2018-06-03 05:00:00,67.1
2018-06-03 05:15:00,67.72
2018-06-03 05:30:00,69.8
2018-06-03 05:45:00,68.54
2018-06-03 06:00:00,68.47
2018-06-03 06:15:00,69.52
2018-06-03 06:30:00,68.15
2018-06-03 06:45:00,68.4
2018-06-03 07:00:00,69.05
2018-06-03 07:15:00,67.86
2018-06-03 07:30:00,68.44
2018-06-03 07:45:00,70.63
2018-06-03 08:00:00,68.65
2018-06-03 08:15:00,67.46
2018-06-03 08:30:00,69.48
2018-06-03 08:45:00,68.8
2018-06-03 09:00:00,68.51
2018-06-03 09:15:00,67.93
2018-06-03 09:30:00,67.28
2018-06-03 09:45:00,66.78
2018-06-03 10:00:00,69.12
2018-06-03 10:15:00,67.25
2018-06-03 10:30:00,65.56
2018-06-03 10:45:00,66.38
2018-06-03 11:00:00,65.92
2018-06-03 11:15:00,66.56
2018-06-03 11:30:00,66.28
2018-06-03 11:45:00,64.37
2018-06-03 12:00:00,68.54
2018-06-03 12:15:00,68.0
2018-06-03 12:30:00,64.48
2018-06-03 12:45:00,65.45
2018-06-03 13:00:00,65.3
2018-06-03 13:15:00,69.12
2018-06-03 13:30:00,66.6
2018-06-03 13:45:00,65.92
